item,name,party,group,gender,dob,dobPrecision,psid
Q106476317,Nathalie Oberweis,Q1270494,Déi Lénk,female,1983-02-20T00:00:00Z,11,Q106476317-61D0214C-E983-4122-A538-D1687696E31C
Q106507896,Myriam Cecchetti,Q1270494,Déi Lénk,female,1966-03-23T00:00:00Z,11,Q106507896-0F7D6600-A5B6-4D9E-A934-DDA687492D16
Q110158745,Dan Biancalana,Q1070311,LSAP,male,1977-11-06T00:00:00Z,11,Q110158745-BFE4CDBC-3482-4A96-A99A-3DEB94A7FD53
Q12155944,Martine Hansen,Q1344670,CSV,female,1965-12-10T00:00:00Z,11,Q12155944-341b5376-47a8-6df1-5590-1a42e031eb4d
Q13101525,André Bauler,Q1029792,DP,male,1964-02-05T00:00:00Z,11,Q13101525-bb077f33-409c-8144-5f81-c148b5e23421
Q13102331,Diane Adehm,Q1344670,CSV,female,1970-09-13T00:00:00Z,11,Q13102331-32f84b85-4096-6943-a4f2-b22d49581967
Q13102779,Georges Engel,Q1070311,LSAP,male,1968-09-07T00:00:00Z,11,Q13102779-f0257c94-4eaa-b484-313f-58a9c0e21aee
Q13102837,Gilles Roth,Q1344670,CSV,male,1967-03-01T00:00:00Z,11,Q13102837-e4a2270e-4e0d-cf2e-23a0-b874d0158e4c
Q13102905,Guy Arendt,Q1029792,DP,male,1954-04-13T00:00:00Z,11,Q13102905-9c84f9d8-442f-0d71-cf28-462c95ab0d1e
Q13103196,Jean-Paul Schaaf,Q1344670,CSV,male,1965-12-04T00:00:00Z,11,Q13103196-80318dda-4c73-8c4e-5183-dc3223593a20
Q13103872,Léon Gloden,Q1344670,CSV,male,1972-12-09T00:00:00Z,11,Q13103872-6a6501ec-44ac-4565-7420-f81b83ecf745
Q13104099,Max Hahn,Q1029792,DP,male,1981-04-30T00:00:00Z,11,Q13104099-4b17723c-4921-d745-fff7-4a07160d897b
Q13105042,Simone Beissel,Q1029792,DP,female,1953-04-27T00:00:00Z,11,Q13105042-8c68911f-4d2b-ce2e-182c-22739a7dd46d
Q13105458,Yves Cruchten,Q1070311,LSAP,male,1975-05-01T00:00:00Z,11,Q13105458-a5e8e00d-42e5-0b85-80c4-2daf56ed65c3
Q13680517,Claude Haagen,Q1070311,LSAP,male,1962-05-18T00:00:00Z,11,Q13680517-ae736173-4d3d-ad74-5397-fb39a51323a7
Q1383541,Roy Reding,Q339280,ADR,male,1965-07-17T00:00:00Z,11,Q1383541-3fa78add-4a48-1f50-1fb7-ab1d56eb3683
Q1384206,Michel Wolter,Q1344670,CSV,male,1962-09-13T00:00:00Z,11,Q1384206-deff7ef3-4a82-a892-206a-c90caf28428b
Q16438871,Gilles Baum,Q1029792,DP,male,1973-01-16T00:00:00Z,11,Q16438871-2716e638-4fb2-cf44-aabb-2f06c69eedfd
Q16438991,Tess Burton,Q1070311,LSAP,female,1985-06-10T00:00:00Z,11,Q16438991-d1bf7ce7-47b4-a182-7f0d-ed070456ec8f
Q16439020,Francine Closener,Q1070311,LSAP,female,1969-12-29T00:00:00Z,11,Q16439020-e390489a-4293-da7f-9626-5b5e3a62b6cd
Q16439120,Emile Eicher,Q1344670,CSV,male,1955-06-30T00:00:00Z,11,Q16439120-12724e1d-4c68-7f84-356d-855c51caebf1
Q16439121,Félix Eischen,Q1344670,CSV,male,1966-02-05T00:00:00Z,11,Q16439121-443c1136-4d10-830c-0ae0-cb43b1ed114b
Q16439318,Gusty Graas,Q1029792,DP,male,1957-09-14T00:00:00Z,11,Q16439318-f34998c7-4783-2e84-487c-998430c6f851
Q16439392,Cécile Hemmen,Q1070311,LSAP,female,1955-11-06T00:00:00Z,11,Q16439392-fa60babb-467d-8946-a1cf-b5295724e5ff
Q16439415,Françoise Hetto-Gaasch,Q1344670,CSV,female,1960-05-21T00:00:00Z,11,Q16439415-a00f01e6-43dd-d08b-f3ef-35d219ea13ba
Q16439645,Claude Lamberty,Q1029792,DP,male,1976-09-24T00:00:00Z,11,Q16439645-790330ef-4306-20dc-d246-5db81b2f6c88
Q16439698,Marc Lies,Q1344670,CSV,male,1968-12-30T00:00:00Z,11,Q16439698-3667da1b-4c5a-6c70-95ea-5e359e84fbbe
Q16439723,Josée Lorsché,Q767761,déi gréng,female,1961-09-09T00:00:00Z,11,Q16439723-cb6ab4c7-435e-8a20-5865-8d90207f8747
Q16439769,Charles Margue,Q767761,déi gréng,male,1956-04-04T00:00:00Z,11,Q16439769-faabe33f-4eb9-bccf-b719-35236691d85c
Q16440329,Serge Wilmes,Q1344670,CSV,male,1982-05-06T00:00:00Z,11,Q16440329-b21de064-cb42-4cca-9f34-33ae70bedaf5
Q16763623,Marc Goergen,Q3079953,Piraten,male,1985-01-12T00:00:00Z,11,Q16763623-34dfc66b-4913-66f6-3941-a68814005c1c
Q1920283,Nancy Arendt épouse Kemp,Q1344670,CSV,female,1969-05-22T00:00:00Z,11,Q1920283-c4a01b8a-4973-7ca0-31c8-9e1a63ab9cb7
Q204094,Mars Di Bartolomeo,Q1070311,LSAP,male,1952-06-27T00:00:00Z,11,Q204094-dc6fb587-4d9d-f48b-f5ef-45575fcf752a
Q235866,Viviane Reding,Q1344670,CSV,female,1951-04-27T00:00:00Z,11,Q235866-8a58c0e8-40b8-bcff-de2f-645bebcd01d4
Q29346234,Fred Keup,Q339280,ADR,male,1980-05-15T00:00:00Z,11,Q29346234-6f45e02d-4a41-b7ac-1b7d-a67368140ea3
Q2978289,Claude Wiseler,Q1344670,CSV,male,1960-01-30T00:00:00Z,11,Q2978289-da9d20d8-4dee-b71f-9760-fd407c638d4b
Q31734710,Paul Galles,Q1344670,CSV,male,1973-05-18T00:00:00Z,11,Q31734710-51960da0-47e2-c47b-a180-031175b91d04
Q42446631,Georges Mischo,Q1344670,CSV,male,1974-09-18T00:00:00Z,11,Q42446631-67f023f0-4b31-c806-d009-0689f3cc046a
Q451696,Lydie Polfer,Q1029792,DP,female,1952-11-22T00:00:00Z,11,Q451696-b25ab6c4-4016-628b-a657-20a920966df2
Q470807,Jean-Marie Halsdorf,Q1344670,CSV,male,1957-02-01T00:00:00Z,11,Q470807-d22d6a6d-4c30-4743-d4b2-e98652ff0675
Q4724923,Aly Kaes,Q1344670,CSV,male,1955-04-04T00:00:00Z,11,Q4724923-7e5a7a10-418e-5e8b-6cfe-35706997b060
Q47456186,Frank Colabianchi,Q1029792,DP,male,1962-10-27T00:00:00Z,11,Q47456186-41053b94-422b-c13f-c86f-d0aa3d2d1c8b
Q51919412,Simone Asselborn-Bintz,Q1070311,LSAP,female,1966-01-24T00:00:00Z,11,Q51919412-b00bb45f-444e-81f8-6c40-83b38839fff5
Q57399136,François Benoy,Q767761,déi gréng,male,1985-02-07T00:00:00Z,11,Q57399136-dbd59a57-4260-3627-d040-66809a80410b
Q57543643,Jeff Engelen,Q339280,ADR,male,1953-07-24T00:00:00Z,11,Q57543643-8ac6e806-4a70-adf1-8e19-96427f9ccf63
Q59392374,Stéphanie Empain,Q767761,déi gréng,female,1983-08-11T00:00:00Z,11,Q59392374-0720131d-4d5d-0864-54d6-52e6d04f7910
Q59497129,Carole Hartmann,Q1029792,DP,female,1987-06-03T00:00:00Z,11,Q59497129-0a59724b-419c-8ca3-6d6a-7037ac83ea5f
Q59498801,Carlo Back,Q767761,déi gréng,male,1952-01-23T00:00:00Z,11,Q59498801-d19097cf-4d90-b572-aa8b-b628d0e210b3
Q59498855,Djuna Bernard,Q767761,déi gréng,female,1992-06-15T00:00:00Z,11,Q59498855-db5fe368-42b1-2296-651a-f1c99aa85758
Q59518104,Marc Hansen,Q767761,déi gréng,male,1968-01-05T00:00:00Z,11,Q59518104-c07805ed-9472-40a5-93a9-49dab73804d8
Q639734,Fernand Kartheiser,Q339280,ADR,male,1959-09-30T00:00:00Z,11,Q639734-28ec8511-4373-3891-8054-a2e6e2e0a6bc
Q6707666,Lydia Mutsch,Q1070311,LSAP,female,1961-08-17T00:00:00Z,11,Q6707666-df45b548-4244-c7e2-df91-4941812905c6
Q6755887,Marc Spautz,Q1344670,CSV,male,1963-04-10T00:00:00Z,11,Q6755887-7275b75c-4523-f3a7-ebbb-09382c351e96
Q69522486,Chantal Gary,Q767761,déi gréng,female,1988-02-11T00:00:00Z,11,Q69522486-ed102329-52c0-4a2b-bdea-9c1b647d0574
Q69522972,Semiray Ahmedova,Q767761,déi gréng,female,1981-04-21T00:00:00Z,11,Q69522972-bb8dc30a-31bb-48ae-a0ab-a755b44bc89a
Q7076803,Octavie Modert,Q1344670,CSV,female,1966-11-15T00:00:00Z,11,Q7076803-46801a73-4917-aaf3-6e46-aac006bed8e9
Q728060,Laurent Mosar,Q1344670,CSV,male,1958-02-08T00:00:00Z,11,Q728060-7a8dff98-4189-0bd8-0471-a2339e54929b
Q7651954,Sven Clement,Q3079953,Piraten,male,1989-01-19T00:00:00Z,11,Q7651954-7ee17abe-4011-da9f-a30e-826cdc9738c4
Q83499466,Pim Knaff,Q1029792,DP,male,1965-10-08T00:00:00Z,11,Q83499466-589e6c13-4fff-fe1d-4545-045f54369049
